IdHecho,Rol,Sexo,Edad
2020-0060,peaton,F,69
2020-0061,conductor,M,45
2020-0062,ciclista,M,47
2020-0063,peaton,M,38
2020-0063,pasajero_acompañante,M,21
2020-0065,conductor,M,24
2020-0066,conductor,M,27
2020-0067,peaton,M,51
2020-0068,conductor,M,71
2020-0069,pasajero_acompañante,M,25
2020-0070,peaton,F,81
2020-0071,peaton,M,4
2020-0072,ciclista,M,42
2020-0073,conductor,M,56
2020-0074,conductor,M,39
2020-0075,peaton,M,23
2020-0076,conductor,F,78
2020-0077,conductor,F,30
2020-0077,pasajero_acompañante,F,24
2020-0078,ciclista,M,26
2020-0079,conductor,M,28
2021-0001,conductor,M,36
2021-0002,conductor,F,47
2021-0003,conductor,M,27
2021-0004,peaton,F,61
2021-0005,peaton,M,73
2021-0006,pasajero_acompañante,F,23
2021-0007,conductor,M,84
2021-0008,peaton,M,28
2021-0009,conductor,M,31
2021-0010,conductor,M,28
2021-0011,peaton,M,21
2021-0012,peaton,M,
2021-0013,conductor,M,41
2021-0014,peaton,M,28
2021-0015,conductor,M,26
2021-0016,conductor,M,22
2021-0017,conductor,M,33
2021-0018,peaton,M,36
2021-0019,conductor,M,30
2021-0020,peaton,F,
2021-0021,conductor,M,39
2021-0024,ciclista,M,5
2021-0025,conductor,M,37
2021-0026,conductor,M,36
2021-0027,conductor,F,19
2021-0028,peaton,M,
2021-0029,conductor,M,26
2021-0030,peaton,M,36
2021-0031,peaton,F,68
2021-0032,peaton,M,60
2021-0033,conductor,M,33
2021-0034,pasajero_acompañante,F,26
2021-0035,conductor,M,24
2021-0036,conductor,M,36
2021-0037,peaton,F,58
2021-0038,conductor,F,44
2021-0039,ciclista,M,86
2021-0040,conductor,M,27
2021-0041,peaton,M,75
2021-0042,peaton,M,39
2021-0043,peaton,M,50
2021-0044,pasajero_acompañante,M,21
2021-0045,conductor,M,22
2021-0046,pasajero_acompañante,M,20
2021-0047,conductor,M,59
2021-0048,ciclista,M,44
2021-0049,conductor,M,74
2021-0050,conductor,M,56
2021-0051,peaton,M,73
2021-0052,pasajero_acompañante,F,19
2021-0053,peaton,M,58
2021-0054,conductor,M,41
2021-0055,pasajero_acompañante,M,47
2021-0056,ciclista,M,60
2021-0057,conductor,M,46
2021-0058,peaton,M,24
2021-0059,pasajero_acompañante,F,44
2021-0060,peaton,F,80
2021-0061,peaton,F,55
2021-0062,conductor,M,73
