ID,NVictimas,Anio,Mes,Hora,TipoCalle,Calle,Comuna,pos x,pos y,Victima,Acusado
2016-0001,1,2016,1,4,avenida,piedra buena av.,8,-58.47533969,-34.68757022,moto,auto
2016-0002,1,2016,1,1,gral paz,"paz, gral. av.",9,-58.50877521,-34.66977709,auto,autobus
2016-0003,1,2016,1,7,avenida,entre rios av.,1,-58.39040293,-34.63189362,moto,auto
2016-0005,1,2016,1,5,avenida,san juan av.,1,-58.38718297,-34.62246630,moto,autobus
2016-0008,1,2016,1,18,avenida,27 de febrero av.,8,-58.44451316,-34.68475866,moto,objeto fijo
2016-0009,1,2016,1,19,calle,nogoya,11,-58.50095869,-34.60825440,moto,auto
2016-0010,1,2016,1,15,gral paz,"paz, gral. av.",9,-58.50877521,-34.66977709,moto,auto
2016-0012,1,2016,2,1,avenida,belgrano av.,1,-58.38048577,-34.61303893,moto,de_carga
2016-0013,1,2016,2,11,avenida,entre rios av.,1,-58.39114932,-34.62477387,peaton,auto
2016-0015,1,2016,2,5,avenida,"scalabrini ortiz, raul av.",15,-58.43760020,-34.59912758,peaton,auto
2016-0016,1,2016,2,22,avenida,regimiento de patricios av.,4,-58.36882665,-34.64291993,moto,auto
2016-0017,1,2016,2,16,avenida,"acosta, mariano av.",8,-58.44989671,-34.65970435,peaton,moto
2016-0019,1,2016,2,9,calle,"de la torre, lisandro",9,-58.50990884,-34.65468721,peaton,autobus
2016-0020,1,2016,2,16,calle,suipacha,1,-58.37952223,-34.60653282,peaton,auto
2016-0021,1,2016,2,23,avenida,directorio av.,7,-58.45157703,-34.63063795,auto,auto
2016-0022,1,2016,2,6,avenida,9 de julio av.,1,-58.38144696,-34.61079875,moto,auto
2016-0025,1,2016,2,4,gral paz,"paz, gral. av.",8,-58.46244952,-34.70524971,auto,auto
2016-0026,1,2016,2,7,calle,holmberg,12,-58.49216191,-34.54738649,auto,objeto fijo
2016-0027,1,2016,2,9,avenida,curapaligue av.,7,-58.44497874,-34.63852623,auto,auto
2016-0028,1,2016,3,10,avenida,viamonte,1,-58.38199706,-34.60028648,peaton,de_carga
2016-0029,1,2016,3,17,avenida,cabildo av.,12,-58.47378664,-34.54153077,peaton,autobus
2016-0031,1,2016,3,12,gral paz,"paz, gral. av.",8,-58.47064556,-34.69843756,moto,autobus
2016-0034,1,2016,3,12,avenida,"alcorta, amancio av.",4,-58.40623949,-34.65076549,peaton,autobus
2016-0035,1,2016,3,6,avenida,corrientes av.,3,-58.39228965,-34.60443527,moto,autobus
2016-0036,1,2016,3,0,calle,herrera,4,-58.37813396,-34.63668504,moto,autobus
2016-0037,1,2016,3,11,avenida,lafuente av.,7,-58.46275892,-34.64358293,moto,moto
2016-0038,1,2016,3,8,gral paz,"paz, gral. av.",8,-58.49683458,-34.67892743,peaton,autobus
2016-0039,1,2016,3,1,avenida,"mitre, bartolome",3,-58.40603217,-34.60883960,moto,autobus
2016-0041,2,2016,3,11,avenida,directorio av.,7,-58.46076550,-34.63350444,moto,de_carga
2016-0043,1,2016,3,18,avenida,"dellepiane, luis, tte. gral.",8,-58.47832463,-34.67494416,peaton,de_carga
2016-0044,1,2016,3,19,avenida,"moreno, jose maria av.",7,-58.43213235,-34.63693953,moto,multiple
2016-0047,1,2016,4,5,calle,lima,1,-58.38247061,-34.62571878,peaton,autobus
2016-0048,1,2016,4,17,avenida,corrientes av.,15,-58.44759966,-34.59170240,peaton,autobus
2016-0050,1,2016,4,9,avenida,"gordillo, timoteo",8,-58.47305463,-34.68550712,peaton,autobus
