ID,Anio,Mes,Hora,TipoCalle,Calle,Comuna,pos x,pos y,Victima,Acusado,Rol,Sexo,Edad
2017-0034,2017,3,7,calle,godoy cruz,14,-58.42554218,-34.57929036,peaton,auto,peaton,M,43
2017-0035,2017,3,5,avenida,"achaval rodriguez, t., dr. av.",1,-58.35881506,-34.61113641,auto,objeto fijo,conductor,M,28
2017-0035,2017,3,5,avenida,"achaval rodriguez, t., dr. av.",1,-58.35881506,-34.61113641,auto,objeto fijo,pasajero_acompañante,M,32
2017-0035,2017,3,5,avenida,"achaval rodriguez, t., dr. av.",1,-58.35881506,-34.61113641,auto,objeto fijo,pasajero_acompañante,M,30
2017-0036,2017,3,18,gral paz,"paz, gral. av.",12,-58.51452347,-34.58159762,moto,autobus,pasajero_acompañante,F,24
2017-0036,2017,3,18,gral paz,"paz, gral. av.",12,-58.51452347,-34.58159762,moto,autobus,conductor,M,20
2017-0037,2017,3,3,avenida,independencia av.,1,-58.38896772,-34.61799615,moto,de_carga,conductor,M,41
2017-0038,2017,4,19,avenida,castañares av.,7,-58.44516857,-34.64363363,moto,auto,conductor,F,40
2017-0040,2017,4,9,avenida,"guiraldes, int.",13,-58.43834197,-34.54560369,auto,multiple,conductor,M,43
2017-0041,2017,4,23,calle,"fernandez moreno, baldomero",7,-58.45485084,-34.63531854,moto,auto,conductor,M,17
2017-0045,2017,4,6,calle,nogoya,10,-58.52449285,-34.62454175,moto,objeto fijo,conductor,M,21
2017-0047,2017,4,6,avenida,argentina av.,8,-58.46713742,-34.6719879,moto,auto,conductor,M,37
2017-0049,2017,4,18,avenida,"fernandez de la cruz, f., gral. av.",8,-58.43850413,-34.65554754,peaton,autobus,peaton,M,22
2017-0052,2017,5,3,gral paz,"paz, gral. av.",8,-58.49413799,-34.68095739,peaton,de_carga,peaton,F,47
2017-0053,2017,5,20,calle,vieytes,4,-58.37547846,-34.65326075,moto,de_carga,conductor,M,28
2017-0054,2017,5,21,avenida,de los constituyentes av.,15,-58.48680218,-34.58689719,moto,auto,pasajero_acompañante,F,20
2017-0055,2017,5,8,avenida,de los constituyentes av.,12,-58.49563989,-34.57962262,auto,auto,conductor,M,32
2017-0058,2017,5,23,avenida,cordoba av.,1,-58.38403232,-34.5991594,peaton,moto,peaton,M,80
2017-0059,2017,5,9,calle,brasil,1,-58.38223382,-34.62693865,peaton,autobus,peaton,F,39
2017-0060,2017,5,7,avenida,escalada av.,8,-58.45966521,-34.67323292,moto,objeto fijo,pasajero_acompañante,M,30
2017-0061,2017,5,13,avenida,paraguay,2,-58.39303911,-34.59871111,peaton,moto,peaton,M,47
2017-0062,2017,5,16,avenida,"justo, juan b. av.",10,-58.51262106,-34.63395999,moto,de_carga,conductor,M,35
2017-0063,2017,5,10,avenida,chile,1,-58.38118367,-34.61646839,peaton,autobus,peaton,F,79
